                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.88085,                 1.6831,                 1.1599,                0.94009,                0.38615,                 0.4189,                0.28661,                 1.7831,                 2.5441,                 1.5518,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                0.75447,                 1.1785,                 1.1645,                0.93983,                0.38639,                0.41924,                0.28266,                 1.8138,                 2.5769,                 1.5738,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                 0.6806,                0.62436,                 1.0636,                0.93983,                0.38639,                0.41924,                0.28266,                 1.8138,                 2.5769,                 1.5738,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                 0.7761,                 1.4541,                 1.1784,                0.93983,                0.38639,                0.41924,                0.28266,                 1.8138,                 2.5769,                 1.5738,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                0.70933,                0.90403,                 1.1095,                0.93388,                0.39139,                0.42043,                0.28425,                 1.7512,                 2.4755,                 1.4926,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                0.80189,                 1.3156,                  1.235,                0.93388,                0.39139,                0.42043,                0.28425,                 1.7512,                 2.4755,                 1.4926,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                 0.6775,                0.80663,                  1.167,                0.93388,                0.39139,                0.42043,                0.28425,                 1.7512,                 2.4755,                 1.4926,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                0.98762,                 1.0839,                  1.278,                0.93765,                0.39103,                0.42349,                0.28552,                 1.7786,                    2.5,                 1.5033,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                0.66885,                0.71456,                 1.4059,                0.93765,                0.39103,                0.42349,                0.28552,                 1.7786,                    2.5,                 1.5033,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                  1.285,                 1.2159,                 1.6076,                0.93765,                0.39103,                0.42349,                0.28552,                 1.7786,                    2.5,                 1.5033,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                0.76577,                0.68729,                 1.1137,                 0.9401,                0.39023,                0.42154,                 0.2932,                 1.7891,                 2.5298,                 1.5128,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                 0.8583,                0.91242,                 1.2528,                 0.9401,                0.39023,                0.42154,                 0.2932,                 1.7891,                 2.5298,                 1.5128,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                0.80406,                 1.1775,                 1.2166,                 0.9401,                0.39023,                0.42154,                 0.2932,                 1.7891,                 2.5298,                 1.5128,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                0.71563,                0.79436,                 1.1845,                0.94399,                0.38588,                0.42151,                 0.2968,                 1.8214,                 2.5856,                  1.537,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                0.69252,                0.83977,                 1.1131,                0.94399,                0.38588,                0.42151,                 0.2968,                 1.8214,                 2.5856,                  1.537,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                0.97209,                0.96635,                 1.2782,                0.94399,                0.38588,                0.42151,                 0.2968,                 1.8214,                 2.5856,                  1.537,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                 0.7816,                0.93736,                 1.1267,                0.94991,                0.38278,                0.42043,                0.29659,                   1.82,                 2.5985,                 1.5263,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                 0.7059,                0.76199,                 1.0688,                0.94991,                0.38278,                0.42043,                0.29659,                   1.82,                 2.5985,                 1.5263,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                0.64371,                0.71807,                 1.1151,                0.94991,                0.38278,                0.42043,                0.29659,                   1.82,                 2.5985,                 1.5263,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                0.76921,                0.86846,                 1.2952,                0.94991,                0.38278,                0.42043,                0.29659,                   1.82,                 2.5985,                 1.5263,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                0.80639,                 1.1561,                 1.4164,                0.93347,                    0.4,                0.42198,                0.28509,                 1.8355,                 2.6161,                  1.552,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                 0.6401,                0.60433,                0.99569,                0.93347,                    0.4,                0.42198,                0.28509,                 1.8355,                 2.6161,                  1.552,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                0.61508,                0.75865,                 1.0721,                0.93347,                    0.4,                0.42198,                0.28509,                 1.8355,                 2.6161,                  1.552,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                0.55952,                0.66997,                 1.0079,                0.93347,                    0.4,                0.42198,                0.28509,                 1.8355,                 2.6161,                  1.552,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                0.51957,                0.66595,                0.90859,                0.90239,                    0.4,                0.42326,                0.27223,                 1.8124,                 2.6031,                 1.5216,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                0.56826,                0.67151,                 1.0563,                0.90239,                    0.4,                0.42326,                0.27223,                 1.8124,                 2.6031,                 1.5216,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                0.69139,                0.69262,                 1.1452,                0.90239,                    0.4,                0.42326,                0.27223,                 1.8124,                 2.6031,                 1.5216,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                0.60939,                0.83679,                 1.0727,                0.90239,                    0.4,                0.42326,                0.27223,                 1.8124,                 2.6031,                 1.5216,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                0.73458,                 0.8251,                 1.1657,                0.91951,                    0.4,                0.42338,                0.30018,                 1.8259,                 2.6424,                 1.5489,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                 0.5259,                0.81048,                 1.1184,                0.91951,                    0.4,                0.42338,                0.30018,                 1.8259,                 2.6424,                 1.5489,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                0.46503,                0.55001,                0.96891,                0.91951,                    0.4,                0.42338,                0.30018,                 1.8259,                 2.6424,                 1.5489,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                0.54161,                0.65289,                0.92007,                0.91951,                    0.4,                0.42338,                0.30018,                 1.8259,                 2.6424,                 1.5489,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                0.50686,                0.56338,                0.95764,                0.93145,                    0.4,                0.42186,                0.29937,                 1.8441,                 2.6807,                 1.5761,             2.3444e-06,             2.3444e-06,             2.3444e-06
